ax,ay,az,gx,gy,gz,mx,my,mz,Yaw,Pitch,Roll,rate
-184.2,-123.23,767.09,0.04,0.02,-0.04,50250,3113,2423,-110.42,-23.15,12.87,4.29
-187.19,-125.67,765.38,-0.05,-0.01,-0.05,50242,3106,2413,-105.2,47.49,-40.27,4.29
-183.84,-122.86,766.6,-0.14,-0.02,-0.09,50241,3101,2414,-120.43,-11.85,33.36,4.29
-185.42,-122.5,767.58,-0.1,-0.08,0.0,50260,3106,2402,-104.75,22.6,-52.26,4.29
-184.02,-121.83,763.0,-0.02,-0.09,0.02,50257,3092,2420,-101.23,5.31,38.39,4.29
-185.18,-123.41,762.45,-0.07,-0.03,0.08,50257,3099,2406,-98.09,3.61,-54.76,4.29
-186.77,-123.78,768.74,0.09,-0.09,-0.04,50241,3101,2418,-66.2,27.86,48.69,4.29
-186.22,-121.4,764.59,-0.07,0.02,-0.06,50255,3104,2411,-86.35,-18.45,-46.34,4.29
-186.1,-123.41,764.83,0.05,0.07,-0.02,50232,3106,2399,-28.43,49.33,59.67,4.29
-187.19,-121.7,768.55,-0.05,0.01,-0.02,50250,3099,2399,-90.36,-30.16,-10.9,4.29
-186.4,-120.06,768.92,-0.07,-0.07,0.01,50276,3125,2401,-98.17,56.39,-21.19,4.29
-186.77,-124.02,764.89,-0.05,-0.02,-0.1,50271,3116,2389,-118.26,-19.96,21.62,4.29
-184.75,-124.08,766.48,-0.04,-0.06,-0.08,50260,3099,2409,-104.01,40.43,-45.68,4.29
-186.16,-122.8,764.71,-0.01,-0.08,0.02,50260,3116,2409,-117.98,-7.76,35.73,4.29
-185.97,-123.72,763.98,-0.02,-0.05,-0.04,50267,3116,2389,-103.26,16.72,-53.85,4.29
-183.78,-122.8,763.0,0.02,-0.04,-0.03,50267,3120,2416,-92.46,11.85,40.37,4.29
-185.79,-123.17,766.72,-0.02,-0.1,0.07,50237,3097,2401,-94.69,-2.83,-53.85,4.29
-184.33,-123.23,767.03,-0.1,-0.05,-0.01,50260,3113,2406,-52.09,34.42,54.27,4.29
-184.57,-122.62,767.27,-0.14,-0.06,-0.05,50257,3099,2416,-83.38,-24.96,-39.54,4.29
-185.91,-121.58,766.54,-0.02,0.03,0.0,50242,3113,2406,-34.87,57.89,47.39,4.29
-188.84,-125.79,765.87,-0.02,0.03,0.02,50248,3108,2414,-102.23,-26.04,4.2,4.29
-184.51,-123.6,765.38,-0.1,-0.06,-0.06,50242,3116,2406,-105.14,51.17,-33.78,4.29
-186.4,-124.63,762.51,0.01,0.0,0.03,50242,3109,2409,-119.89,-15.47,28.45,4.29
-185.49,-125.31,762.39,0.05,-0.02,0.05,50250,3113,2406,-105.11,30.44,-50.23,4.29
-186.89,-122.44,767.46,0.01,-0.05,-0.06,50266,3086,2404,-110.33,-1.58,37.16,4.29
-187.07,-121.64,765.01,-0.05,0.02,0.07,50246,3102,2399,-101.25,10.29,-54.65,4.29
-186.65,-124.02,761.78,0.07,-0.05,-0.02,50241,3097,2414,-80.26,20.05,43.63,4.29
-184.45,-122.38,767.58,0.02,0.02,-0.03,50235,3102,2413,-90.21,-10.91,-51.17,4.29
-185.06,-121.83,769.17,-0.05,-0.02,-0.05,50242,3113,2413,-36.4,41.59,60.19,4.29
-187.93,-123.47,765.75,-0.03,-0.09,-0.05,50242,3106,2399,-83.65,-29.65,-27.65,4.29
-185.97,-125.73,768.19,-0.04,-0.02,0.02,50250,3088,2395,-67.74,62.66,10.18,4.29
-186.28,-125.49,764.65,0.0,-0.02,0.0,50260,3109,2402,-114.47,-21.73,15.55,4.29
-187.68,-123.23,763.92,0.02,-0.08,-0.08,50250,3088,2406,-102.57,46.68,-40.92,4.29
-183.65,-122.25,767.03,0.01,-0.14,0.07,50241,3111,2401,-120.7,-10.79,34.36,4.29
-184.14,-122.99,764.1,-0.09,-0.15,-0.05,50246,3109,2406,-103.98,20.63,-52.86,4.29
-185.55,-119.93,768.37,0.01,0.11,0.06,50273,3129,2407,-98.36,7.49,39.27,4.29
-186.1,-122.8,762.57,-0.08,-0.08,-0.05,50260,3099,2409,-97.1,1.38,-54.54,4.3
-185.55,-122.56,767.21,0.03,0.02,0.03,50246,3116,2402,-61.06,30.27,50.9,4.29
-188.29,-125.18,765.5,0.02,-0.23,0.02,50241,3097,2407,-85.32,-20.77,-44.39,4.29
-184.2,-126.16,768.62,0.02,-0.02,-0.1,50269,3101,2411,-28.77,52.0,57.09,4.29
-188.29,-125.12,760.68,-0.05,-0.03,-0.02,50250,3109,2416,-94.26,-28.7,-5.9,4.29
-185.3,-121.09,766.72,-0.01,0.0,-0.13,50242,3092,2409,-101.12,54.76,-25.19,4.29
-185.42,-120.54,767.82,0.08,-0.08,0.0,50269,3093,2401,-118.59,-18.97,23.96,4.29
-186.83,-125.24,765.26,0.04,-0.08,0.01,50250,3106,2406,-105.51,37.4,-47.55,4.29
-186.89,-122.74,766.66,-0.06,0.03,-0.01,50253,3102,2413,-115.89,-6.1,36.31,4.29
-187.87,-122.56,763.18,-0.14,-0.06,0.11,50250,3113,2409,-103.16,14.95,-54.11,4.29
-188.42,-124.88,761.72,0.0,-0.26,-0.08,50246,3102,2413,-88.8,14.47,41.13,4.29
-186.77,-120.18,766.97,0.01,-0.05,-0.06,50262,3104,2411,-93.41,-5.14,-52.97,4.29
-183.53,-122.13,766.66,-0.01,0.03,-0.06,50248,3104,2404,-47.64,36.55,55.88,4.29
-186.71,-123.17,767.4,-0.08,-0.1,0.0,50269,3104,2401,-83.3,-26.39,-36.52,4.29
-185.18,-122.62,766.54,-0.11,-0.11,-0.04,50235,3085,2420,-41.81,60.12,39.12,4.29
-186.58,-124.69,766.42,0.0,-0.11,0.03,50239,3113,2409,-106.07,-24.75,8.02,4.29
-187.19,-123.35,763.67,-0.02,-0.05,-0.11,50264,3116,2409,-105.09,50.17,-36.36,4.29
-184.81,-120.61,765.26,-0.11,-0.05,-0.13,50246,3106,2406,-120.3,-13.96,31.14,4.29
-181.7,-119.51,770.57,-0.07,-0.08,-0.02,50264,3106,2389,-105.05,26.27,-50.86,4.29
-189.82,-125.31,768.19,0.06,-0.14,-0.06,50242,3113,2409,-105.66,1.87,37.0,4.29
-185.91,-124.15,765.08,-0.04,-0.05,-0.02,50273,3108,2407,-99.63,7.4,-54.74,4.29
-187.01,-124.51,764.53,0.0,0.01,-0.01,50239,3109,2406,-74.54,23.48,45.34,4.29
-184.27,-121.09,765.69,-0.01,0.03,-0.02,50232,3092,2406,-88.59,-14.12,-49.19,4.29
-186.83,-124.27,762.51,0.03,0.0,-0.08,50267,3095,2399,-31.67,44.94,60.71,4.29
-186.52,-123.29,764.16,-0.04,0.03,-0.02,50257,3102,2409,-86.03,-30.28,-20.38,4.29
-184.75,-126.65,765.75,-0.11,-0.15,-0.02,50250,3095,2395,-84.51,60.36,-7.48,4.29
-187.01,-124.76,767.52,-0.04,-0.08,0.03,50260,3099,2413,-117.28,-20.86,18.75,4.29
-187.81,-121.89,760.38,0.05,-0.02,-0.06,50255,3101,2390,-102.64,44.32,-43.1,4.29
-186.77,-124.27,765.2,-0.07,-0.07,0.05,50239,3095,2413,-119.97,-9.42,34.92,4.29
-187.56,-125.55,762.94,-0.05,-0.09,-0.03,50251,3097,2394,-103.6,19.11,-53.5,4.29
-185.55,-123.41,766.78,0.0,-0.09,0.03,50250,3099,2409,-96.32,9.11,39.53,4.29
-190.67,-126.22,760.5,0.0,-0.05,-0.05,50257,3102,2402,-96.79,0.43,-54.49,4.3
-188.05,-126.34,758.54,-0.08,0.06,-0.11,50242,3120,2402,-58.15,31.74,51.7,4.29
-188.72,-124.08,761.72,-0.05,-0.08,-0.02,50255,3111,2411,-85.13,-21.73,-42.67,4.29
-186.34,-125.37,765.26,-0.04,-0.11,-0.02,50246,3109,2416,-30.01,53.78,54.6,4.29
-188.84,-124.45,765.56,-0.06,0.01,-0.02,50242,3102,2399,-96.69,-27.9,-2.45,4.29
-185.42,-122.56,764.83,0.0,-0.01,-0.01,50242,3106,2416,-103.25,53.5,-28.59,4.29
-188.9,-122.74,764.95,-0.05,-0.08,-0.02,50250,3106,2409,-118.96,-17.66,25.31,4.29
-185.55,-122.13,764.04,0.06,-0.05,-0.08,50248,3097,2411,-105.24,35.22,-48.05,4.29
-187.81,-127.01,766.78,0.02,-0.11,0.0,50269,3101,2401,-114.57,-5.13,35.72,4.29
-192.87,-125.79,768.68,-0.03,0.14,-0.37,50242,3106,2416,-102.97,14.95,-54.19,4.29
-184.02,-122.38,766.97,0.02,-0.21,-0.04,50239,3109,2399,-89.36,13.96,41.35,4.29
-190.31,-124.39,765.5,-0.02,0.02,-0.02,50234,3118,2407,-94.04,-4.49,-53.43,4.29
-187.44,-125.85,764.4,0.02,-0.01,-0.08,50239,3109,2402,-47.65,36.29,56.0,4.29
-185.3,-124.45,766.11,-0.02,-0.08,-0.02,50237,3115,2411,-83.15,-26.35,-36.83,4.29
-187.07,-126.53,762.33,0.03,-0.03,-0.07,50258,3097,2401,-40.67,60.42,39.58,4.29
-189.27,-124.94,763.67,0.04,-0.14,-0.07,50255,3093,2411,-106.35,-24.05,8.85,4.29
-190.12,-123.23,761.84,-0.02,-0.06,0.04,50246,3099,2413,-105.72,49.53,-37.21,4.29
-184.88,-123.35,763.79,0.06,-0.31,-0.08,50228,3099,2406,-120.29,-13.74,31.12,4.29
-188.66,-123.35,764.16,0.01,-0.05,0.01,50235,3109,2395,-105.54,26.73,-51.28,4.29
-187.19,-122.19,768.07,0.09,-0.04,0.07,50228,3109,2399,-106.09,1.58,37.74,4.29
-185.91,-125.61,763.31,-0.1,0.07,0.03,50241,3108,2411,-99.89,7.09,-55.09,4.29
-186.83,-123.23,763.12,0.07,-0.09,0.04,50262,3104,2407,-73.42,23.97,46.22,4.29
-184.81,-122.86,764.95,-0.15,-0.08,0.03,50239,3099,2399,-88.07,-14.93,-49.28,4.29
-185.3,-124.33,764.1,0.06,-0.06,-0.02,50242,3102,2416,-30.32,45.34,61.47,4.29
-186.22,-123.23,761.35,-0.08,-0.11,0.02,50241,3108,2407,-86.02,-30.58,-19.43,4.29
-189.82,-125.18,762.7,0.04,-0.05,0.05,50248,3097,2407,-87.11,60.34,-10.28,4.29
-185.55,-123.17,761.78,-0.08,-0.04,0.05,50237,3115,2414,-117.7,-20.67,20.0,4.29
-186.52,-123.6,770.14,0.03,0.07,-0.01,50235,3116,2402,-103.29,42.65,-44.23,4.29
-185.97,-125.06,765.26,-0.06,-0.11,-0.03,50241,3115,2414,-119.28,-8.88,35.07,4.29
-183.47,-123.17,765.56,-0.08,-0.14,0.1,50221,3109,2402,-103.01,18.1,-53.55,4.29
-186.89,-124.94,762.02,-0.05,0.05,-0.11,50242,3113,2402,-94.75,10.35,39.37,4.29
-187.01,-124.21,765.5,-0.03,-0.03,-0.05,50228,3106,2416,-95.63,-0.93,-54.13,4.29
-189.76,-124.88,764.16,-0.01,0.02,-0.02,50241,3104,2411,-55.49,33.07,52.64,4.29
-187.07,-127.08,761.72,-0.03,0.08,-0.12,50258,3093,2411,-84.73,-22.96,-41.29,4.29
-187.13,-124.02,763.43,-0.02,-0.13,0.0,50239,3113,2395,-30.96,55.48,52.51,4.29
-188.11,-123.47,765.08,-0.05,-0.1,0.05,50248,3118,2404,-98.76,-27.34,0.75,4.29
-186.71,-123.35,765.56,0.08,0.02,-0.02,50226,3108,2411,-105.33,52.19,-31.78,4.29
-186.65,-125.0,766.42,-0.02,-0.08,-0.05,50235,3106,2406,-119.4,-16.81,26.86,4.29
-187.44,-123.47,761.54,-0.01,-0.04,-0.04,50239,3120,2399,-105.67,33.25,-49.19,4.29
-190.49,-123.96,760.44,-0.03,0.0,-0.06,50244,3108,2397,-112.49,-3.27,36.47,4.29
-186.65,-123.96,765.32,-0.03,0.05,0.07,50244,3108,2397,-101.67,12.18,-54.62,4.29
-186.71,-122.86,762.45,-0.08,-0.03,-0.03,50257,3106,2413,-84.03,17.66,42.56,4.29
-189.03,-125.92,762.45,-0.02,0.05,-0.07,50216,3104,2411,-92.12,-8.0,-52.38,4.29
-187.68,-123.41,766.05,-0.05,0.03,0.02,50241,3097,2421,-40.5,39.29,59.03,4.29
-187.13,-123.84,766.72,-0.01,-0.13,-0.12,50244,3093,2404,-82.83,-28.6,-31.93,4.29
-187.01,-124.45,764.65,0.08,-0.05,0.01,50260,3102,2402,-55.34,62.72,23.41,4.29
-186.28,-123.72,765.44,0.01,-0.04,0.05,50210,3099,2413,-111.44,-22.62,13.51,4.3
-185.12,-122.56,765.38,-0.04,-0.01,0.01,50241,3111,2411,-104.11,47.19,-39.86,4.29
-187.19,-122.56,759.83,0.03,-0.06,0.13,50246,3106,2406,-120.25,-11.44,33.0,4.29
-186.58,-121.83,766.78,-0.02,0.05,0.08,50250,3085,2392,-104.24,22.78,-52.16,4.29
-189.33,-123.29,765.93,-0.04,-0.11,-0.14,50234,3101,2397,-101.32,5.38,38.12,4.29
-191.59,-127.44,761.9,-0.12,-0.31,0.24,50244,3115,2401,-98.58,4.28,-54.96,4.29
-187.81,-123.84,766.54,-0.08,-0.1,0.05,50237,3111,2390,-67.21,27.28,48.41,4.29
-192.26,-126.16,763.79,0.01,-0.06,-0.02,50241,3097,2394,-87.37,-17.24,-46.96,4.29
-186.58,-123.66,762.94,-0.02,0.01,0.03,50241,3097,2401,-28.58,48.05,60.55,4.29
-186.52,-124.63,762.39,-0.05,0.02,-0.04,50226,3101,2407,-89.01,-30.23,-13.74,4.29
-186.28,-123.35,763.37,-0.1,-0.05,0.03,50242,3088,2399,-94.86,57.72,-18.1,4.29
-185.42,-122.13,766.72,-0.05,-0.06,-0.03,50237,3090,2411,-118.25,-20.22,21.53,4.29
-189.64,-125.61,763.79,-0.02,-0.09,-0.02,50235,3092,2402,-104.63,41.08,-45.93,4.29
-184.81,-124.69,765.14,0.08,-0.02,0.05,50242,3106,2402,-118.44,-8.02,35.91,4.29
-188.66,-124.63,763.37,-0.03,0.08,-0.05,50251,3101,2425,-103.76,17.04,-53.81,4.29
-187.68,-122.92,764.1,-0.01,0.09,-0.05,50262,3108,2414,-92.42,11.95,40.47,4.29
-185.18,-124.21,768.37,-0.07,-0.01,-0.02,50241,3104,2404,-94.43,-3.13,-54.01,4.29
-187.87,-125.0,761.6,0.0,-0.05,-0.03,50253,3106,2413,-50.54,35.08,54.84,4.29
-187.81,-125.55,765.87,0.01,0.04,-0.08,50246,3095,2399,-83.78,-24.98,-38.63,4.29
-188.6,-124.02,762.39,0.07,-0.22,-0.03,50264,3106,2409,-35.88,58.57,45.68,4.29
-189.45,-125.61,760.44,0.06,-0.06,0.02,50257,3116,2420,-103.4,-25.29,5.48,4.29
-189.15,-125.24,765.62,-0.03,-0.14,0.07,50237,3108,2407,-105.37,50.9,-34.94,4.29
-187.19,-125.0,764.4,-0.06,0.02,-0.13,50264,3102,2402,-120.15,-14.85,29.35,4.29
-188.11,-122.01,765.2,0.05,-0.14,0.0,50255,3104,2421,-105.3,29.38,-50.24,4.29
-186.65,-125.92,767.64,-0.02,0.05,-0.03,50250,3099,2413,-109.38,-0.99,36.62,4.29
-188.11,-125.37,764.47,-0.04,-0.06,0.02,50241,3111,2404,-101.02,10.26,-54.83,4.29
-190.12,-122.19,761.47,-0.07,0.03,-0.14,50251,3101,2404,-79.74,20.41,43.97,4.29
-188.17,-125.18,763.12,-0.05,-0.01,0.0,50239,3113,2406,-90.42,-10.9,-51.27,4.29
-183.9,-120.54,767.09,-0.15,-0.03,-0.09,50283,3111,2411,-36.14,41.44,60.63,4.29
-186.71,-126.1,764.83,-0.02,0.05,-0.09,50257,3113,2409,-83.28,-29.84,-28.17,4.29
-188.54,-123.11,764.71,0.0,-0.02,-0.13,50246,3120,2416,-66.47,63.11,11.45,4.29
-184.51,-125.49,765.5,0.01,0.02,-0.11,50239,3095,2406,-114.36,-21.95,15.96,4.29
-184.39,-122.44,766.24,0.1,-0.07,0.0,50232,3092,2416,-103.12,45.94,-41.23,4.29
-186.71,-124.94,765.2,0.05,-0.05,0.02,50246,3106,2406,-120.37,-10.6,33.77,4.29
-185.3,-124.08,764.89,-0.05,-0.1,-0.06,50244,3108,2411,-103.61,21.1,-52.85,4.29
-185.18,-126.34,765.44,-0.11,-0.14,-0.11,50255,3090,2401,-99.67,6.65,38.29,4.29
-189.76,-123.54,764.28,-0.08,0.02,-0.04,50241,3104,2414,-97.8,3.05,-54.49,4.29
-185.85,-124.88,761.6,-0.04,-0.02,-0.03,50230,3104,2411,-65.02,28.59,48.74,4.29
-187.07,-124.21,761.96,-0.02,0.06,-0.07,50230,3104,2407,-86.61,-18.67,-45.66,4.29
-185.79,-124.88,764.4,-0.07,-0.08,0.05,50226,3111,2397,-28.68,49.75,58.95,4.29
